player,team_name,date_update,note,page,player_code
Miles Bridges,Charlotte Hornets,"Wed, Sep 27, 2023",Out (Suspension) - Bridges is serving a 30-game suspension for an off-court incident.,/players/b/bridgmi02.html,bridgmi02
Lonzo Ball,Chicago Bulls,"Mon, Aug 21, 2023",Out For Season (Knee) - Ball will miss the 2023-24 season while recovering from surgery.,/players/b/balllo01.html,balllo01
Ricky Rubio,Cleveland Cavaliers,"Wed, Sep 27, 2023","Out Indefinitely (Personal) - Rubio is away from the team due to a mental health matter, he will miss an undetermined length of time.",/players/r/rubiori01.html,rubiori01
Vlatko Čančar,Denver Nuggets,"Thu, Aug 17, 2023",Out Indefinitely (Knee) - The Nuggets announced that Cancar underwent surgery on his left knee and is out indefinitely.,/players/c/cancavl01.html,cancavl01
Kevin Porter Jr.,Houston Rockets,"Mon, Sep 11, 2023",Day To Day (Possible suspension) - Porter Jr. is questionable for the season opener while facing possible suspension from an off-court incident.,/players/p/porteke02.html,porteke02
Amir Coffey,Los Angeles Clippers,"Fri, Aug 18, 2023",Day To Day (Possible suspension) - Coffey is questionable for the season opener due to a possible league discipline for an alleged off-court incident.,/players/c/coffeam01.html,coffeam01
Ja Morant,Memphis Grizzlies,"Fri, Aug 18, 2023",Out (Suspension) - Morant is serving a 25-game suspension for conduct detrimental to the league.,/players/m/moranja01.html,moranja01
Jaylen Clark,Minnesota Timberwolves,"Fri, Aug 18, 2023","Out (Achilles) - Clark is idle due to a right Achilles issue, and is not expected to make his season debut until sometime in February.",/players/c/clarkja02.html,clarkja02
Trey Murphy III,New Orleans Pelicans,"Thu, Sep 7, 2023",Out (Knee) - The Pelicans announced that Murphy III will return to basketball activities in approximately 10-12 weeks.,/players/m/murphtr02.html,murphtr02
Montrezl Harrell,Philadelphia 76ers,"Thu, Aug 3, 2023","Out Indefinitely (Knee) - Harrell underwent an MRI that revealed a torn ACL and meniscus, according to Shams Charania of The Athletic.",/players/h/harremo01.html,harremo01
Devonte' Graham,San Antonio Spurs,"Fri, Aug 18, 2023",Out (Suspension) - Graham is serving a two-game suspension for an off-court incident.,/players/g/grahade01.html,grahade01
